std_smiles,expt_test,database
N#CC(F)Cl,0,emolecules
CC(C#N)C#N,0,emolecules
COC(=O)C#N,0,emolecules
N#CC(F)F,0,emolecules
CC(=O)OC(C#N)C#N,0,emolecules
CC(Cl)C#N,0,emolecules
CC(F)(F)C#N,0,emolecules
CCC(C#N)C#N,0,emolecules
N#CCOC=O,0,emolecules
N#CC(Cl)Cl,0,emolecules
CCC(C)C#N,0,emolecules
N#CCC(F)F,0,emolecules
CCOC(=O)C#N,0,emolecules
N#CC(Cl)(Cl)C#N,0,emolecules
CCC(F)(F)C#N,0,emolecules
CC(C#N)C(C)(F)F,0,emolecules
CC(F)(F)CC#N,0,emolecules
CC(C)CC#N,0,emolecules
CC(C#N)CF,0,emolecules
CCOC(=O)C(C#N)C#N,0,emolecules
N#CCCCl,0,emolecules
N#CC(Cl)C=O,0,emolecules
CC(C)(F)C#N,0,emolecules
CC(Cl)(Cl)C#N,0,emolecules
CC(C#N)C(F)(F)F,0,emolecules
CCC(C)CC#N,0,emolecules
CC(C)(C#N)C(F)F,0,emolecules
CC(C#N)C(F)F,0,emolecules
N#CC(Cl)(Cl)Cl,0,emolecules
CCCCC#N,0,emolecules
N#CC(Cl)CCl,0,emolecules
CC(C#N)CCC#N,0,emolecules
N#CC(F)C(F)(F)F,0,emolecules
N#CCC(F)(F)C(F)F,0,emolecules
CC(C)(C#N)C(=O)Cl,0,emolecules
N#CCC(F)(F)F,0,emolecules
CCC(Cl)C#N,0,emolecules
N#CCCC(F)F,0,emolecules
N#CC(F)(F)C(F)(F)C(F)(F)F,0,emolecules
CC(C#N)CCl,0,emolecules
CC(C#N)C(F)(F)C(F)F,0,emolecules
N#CCC(F)(F)C(F)(F)F,0,emolecules
N#CCC(=O)Cl,0,emolecules
CC(C#N)C(F)(F)C(F)(F)F,0,emolecules
CC(C#N)CCF,0,emolecules
CC(C#N)CC(F)(F)F,0,emolecules
CC1CC(=O)OC1=O,0,emolecules
COC(=O)C=O,0,emolecules
O=C1CC(C(F)F)C(=O)O1,0,emolecules
COC(=O)CF,0,emolecules
CC(F)(F)C(C)(C)C#N,0,emolecules
CC(C#N)CS(=O)(=O)F,0,emolecules
CCC(C#N)CC,0,emolecules
N#CCS(=O)(=O)F,0,emolecules
CC(=O)OC=O,0,emolecules
O=C1CC(F)(F)C(=O)O1,0,emolecules
CCCC(C)C#N,0,emolecules
CC(C#N)S(=O)(=O)F,0,emolecules
N#CC(F)(F)C(F)(F)C(F)(F)C(F)F,0,emolecules
CC(C)(Cl)C#N,0,emolecules
N#CC(C(F)(F)F)C(F)(F)F,0,emolecules
N#CCC(F)C(F)(F)F,0,emolecules
CCCC(C)CC#N,0,emolecules
O=C1CC(C(F)(F)F)C(=O)O1,0,emolecules
O=C1CCC(=O)O1,0,emolecules
O=C(Cl)C(F)Cl,0,emolecules
N#CCCC(F)(F)F,0,emolecules
CCC(C)(C)C#N,0,emolecules
CC(C)C(C)C#N,0,emolecules
CC(C)(C#N)C=O,0,emolecules
N#CCCC(F)(F)C(F)F,0,emolecules
CC(C)(C#N)C(F)(F)C(F)F,0,emolecules
O=C1OC(=O)C(F)(F)C1(F)F,0,emolecules
CCC(C#N)C=O,0,emolecules
O=C(Cl)CF,0,emolecules
N#CCCCF,0,emolecules
N#CCCC(F)(F)C(F)(F)F,0,emolecules
N#CCCS(=O)(=O)F,0,emolecules
CC(C)C(Cl)C#N,0,emolecules
CCC(C)(C)CC#N,0,emolecules
COC(=O)C(=O)Cl,0,emolecules
O=C(F)C(F)(F)C(F)(F)F,0,emolecules
COC(=O)C(F)(F)Cl,0,emolecules
CC(C)(C#N)CCl,0,emolecules
O=C(F)C(F)(F)Cl,0,emolecules
CC(C#N)CC(F)(F)C(F)(F)F,0,emolecules
O=C(F)C(F)F,0,emolecules
N#CCC(F)(F)C(F)(F)C(F)(F)F,0,emolecules
CCOC(=O)C(F)Cl,0,emolecules
COC(=O)C(F)(F)F,0,emolecules
O=C(Cl)C(F)F,0,emolecules
CCC1CC(=O)OC1=O,0,emolecules
CC(C#N)CCC(F)(F)F,0,emolecules
COC(C)C#N,0,emolecules
CC(F)(F)C(F)(F)C(F)(F)F,0,emolecules
CC(C#N)C(F)C(F)(F)F,0,emolecules
N#CC1(C(F)(F)F)CC1,0,emolecules
N#CC1CC1(F)F,0,emolecules
N#CN1C(=O)CCC1=O,0,emolecules
N#CC(C#N)CC(C#N)C#N,0,emolecules
CC(CC#N)C(F)(F)F,0,emolecules
CC(C)(C)OC(=O)C#N,0,emolecules
N#CCCC(F)C(F)(F)F,0,emolecules
O=C1CC(C(F)(F)C(F)F)C(=O)O1,0,emolecules
CCC(C)(Cl)C#N,0,emolecules
O=C(Cl)C(F)(F)Cl,0,emolecules
O=C(OC(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0,emolecules
FC(F)(F)C(Cl)(C(F)(F)F)C(F)(F)F,0,emolecules
N#CC1(C#N)OC1(C#N)C#N,0,emolecules
CCC(C#N)C(C)C,0,emolecules
O=C1CC(C(F)(F)F)(C(F)(F)F)O1,0,emolecules
CC(C)(C#N)CC(F)(F)F,0,emolecules
O=C(F)C(F)(F)C(F)(F)Cl,0,emolecules
O=C(OC(=O)C(F)F)C(F)F,0,emolecules
CS(=O)(=O)C#N,0,emolecules
CCCCC(C#N)CC,0,emolecules
N#CC1(C(F)F)CC1,0,emolecules
O=C(F)C(F)(F)C(=O)F,0,emolecules
O=C1CCC(C(=O)Cl)O1,0,emolecules
N#CCOC(F)(F)F,0,emolecules
O=S(=O)(F)C(F)F,0,emolecules
O=C1CC(CC(F)(F)F)C(=O)O1,0,emolecules
N#CCCOC(=O)C(F)(F)F,0,emolecules
CCCCC(C)C#N,0,emolecules
FC(F)(Cl)C(F)(F)C(F)(F)Cl,0,emolecules
CC(Cl)CCC#N,0,emolecules
N#CCC(C#N)(C#N)C#N,0,emolecules
O=S(=O)(Cl)CF,0,emolecules
O=C1CC(C(F)(F)C(F)(F)F)C(=O)O1,0,emolecules
N#CCOC(F)(F)C(F)(F)F,0,emolecules
CC1(C#N)CC1(F)F,0,emolecules
CC(C#N)C(F)(F)C(F)(F)C(F)(F)F,0,emolecules
CC(C#N)C(C)(C)F,0,emolecules
O=C(Cl)C(F)(F)C(F)(F)F,0,emolecules
COS(=O)(=O)F,0,emolecules
CC(C)C(C#N)C(=O)Cl,0,emolecules
CC(C)(C#N)CS(=O)(=O)F,0,emolecules
CC(F)(F)CCC#N,0,emolecules
O=C(F)C(F)(C(F)(F)F)C(F)(F)F,0,emolecules
O=C1CCC(F)(F)C(=O)O1,0,emolecules
O=C1CC(C(F)C(F)(F)F)C(=O)O1,0,emolecules
N#CC1CC1,0,emolecules
O=C(Cl)SCl,0,emolecules
CC(C)(C#N)CC#N,0,emolecules
FC(F)(F)C(F)(Cl)C(F)(F)Cl,0,emolecules
CCC(=O)F,0,emolecules
O=S(=O)(Cl)C(F)(F)F,0,emolecules
O=C(Cl)OCCl,0,emolecules
CC(C)(C#N)C(F)(F)C(F)(F)F,0,emolecules
N#CC1CC(F)(F)C1(F)F,0,emolecules
CP(C)(=O)CC#N,0,emolecules
N#CCCCCl,0,emolecules
FC(F)CC(F)F,0,emolecules
COC(C)CC#N,0,emolecules
O=C(OCCl)C(F)(F)Cl,0,emolecules
O=C1OC(=O)C(F)(F)C(F)(F)C1(F)F,0,emolecules
CC(C)C(C#N)C=O,0,emolecules
COC(=O)C(C)(F)F,0,emolecules
FC(F)(Cl)C(F)(Cl)Cl,0,emolecules
CC1C(C#N)C1(F)F,0,emolecules
N#CC1CC1C(F)(F)F,0,emolecules
CCC(C)(C#N)CC,0,emolecules
O=S(=O)(Cl)C(F)Cl,0,emolecules
CCCCCC#N,0,emolecules
O=C(OC(=O)C(F)(F)Cl)C(F)(F)Cl,0,emolecules
COC(=O)C(F)(F)C(F)(F)Cl,0,emolecules
CCC(C#N)S(=O)(=O)F,0,emolecules
COC(=O)C(=O)CC#N,0,emolecules
COC(=O)C(F)(F)C(F)(F)F,0,emolecules
